Görüş,Durum
fiyat olarak uygun evet sesli dert olacak kadar degil severek kullanıyoruz,Olumlu
burda yapilan yorumlar kesinlikle doğru mesela bir bayan 10 gün kullanmış cok memnun evet dogrudur ilk 10 gün harika çalışiyor sonradan cekim gücü cok azaliyor makina ilk günler cok sessiz cekişli 3 ay sonra inanilmaz bir ses cikiyor inanin normal el gırgırı bile iyi topluyor rowenta ürünü kesinlikle kalite kontrolunü iyi yapmali yoksa verdigimiz paraya yazık,Olumsuz
seslii,Olumsuz
tam istediğim tek sefer 4 fincan kahve rahatlıkla çıkıyor bol köpüklü türk kahveniz sizinle buluşmaya hazır benzerlerine oranla pratik temizliği kolay,Olumlu
homendin ürünü kaliteli dayanıklı ancak malesef ürün önce kullanılmış kozmetik olarak hasarlı ürün geldi iade etdim,Olumsuz
ucuza aldığımı düşünüyorum teşekkürler media markt,Olumlu
ürün aynı anlatıldığı tek eksiği içindeki su bitince otomatik kapanmıyor fazla sorun değil beklentileri karşılıyor,Olumlu
cok dandik bi ürun,Olumsuz
evet ürün güzel,Olumlu
ürünü beğendim media markın ürünü kargoya verdiğinden haberi yok ürünü teslim aldım sonra mesaj geldi ürününüz kargoya verilmiştir,Olumlu
10 günde elime geçti yazık itibar zedeleyici almayın aldırtmayın,Olumsuz
mutis bir set,Olumlu
fiyat performans muhteşem,Olumlu
ürünü iki yıldır kullanıyorum memnunum emiş gücü güzel tabiki ilk alındığı zamana göre azalıyor filtresi zamanla kirlenip tıkandığı temizlendiğinde norrmal performansından ben memnunum araştırararak arkadaşlarımın kullandığı markalar arasında seçerek aldım memnunum hatta temizlettiğim halıları süpürdüğüm çıkan kire inanamadım köşe bucak herşeyi çekiyor temizlik yaptıktan sonra içim rahat koku yapıyor diyenler ilk başta bende sorun oldu hatta moralim bozulmuştu fakat sonra anladım ıslak zeminler süpürüldüğünde koku yapıyor artık dikkat ediyorum banyo zemini nemli yada ıslakken süpürmekten vazgeçtiğimden beri koku yapması kesildi olumsuz yorum yapanlara baktığımda bende hiçbiri olmadı borusu heryeri sağlam hatta elimden çekiyor çekiştire çekiştire süpürüyorum inşaat pisliği temizlediğim oldu buna rağmen heryeri sağlam verdiğim parayı kat kat amorti ettiğini düşünüyorum,Olumlu
henüz kullanmadım paketleme gayet iyiydi tatilde eşarplarımı ütülemek aldım memnun kalacağımı düşünüyorum,Olumlu
kapak korumaları açık bir vaziyette elime ulaştı,Olumsuz
bende araştırıyorum almayı düşünüyorum pişman olmam inşallah iyiki almışım diyebilirim inşallah,Olumsuz
oldukça kalitesiz bir ürün sürgüdeki koruma bantlarını çıkartırken oldukça özenli davrandım metal yamuldu,Olumsuz
lensler kalitesiz sağa sola ileri geri ayarlama kısmı yetersiz fakat fiyatına göre denemek alabilirsiniz iyisini kullandığım bana yetersiz geldi,Olumsuz
kablo kısa ses seviyesi düşük ses kalitesi idare eder kargolama özenli mağaza iletişimi iyi mağazaya puanım 10 üzerinden 10 ürüne puanım 10 üzerinden 5 sedece ürün kulakta ağrı yapmaz rahatlık konusunda iyi,Olumsuz
arkadaşlar keşke biraz para verip iyisini alsaymışım diyorum yuvarlak tepsi iyi hoş izagara teli diğer tepsiyi fırınsa sokup çıkarmak çaba harcıyorum kaymaları gereken olukları firma pek önemsememiş anlaşılan bunun dışında aynı aynda iki pişirmeniz mümkün değil,Olumsuz
ürün mükemmel şiddetle tavsiye ederim çekimgücü harikaaaa sesi biraz fazla marifetlerinin yanında önemi yok,Olumlu
aldığım gün bozuldu fazla 20 dk müzik dinlemişimdir kulaklık zaten çöp kutusundan çıktığı anda 1 başı bozuktu ses gelmiyordu kazıklanırsınız,Olumsuz
ürün kaliteli sorunsuz büyük bir aileyseniz büyük hacimlilerine bakabilirsiniz bizim yeterli bir ürün,Olumlu
ütünün buhar basıncı kuvvetli tek geçişte kırışıklığı açıyor dikey ütülemesi iyi dolapta hafif kırışmış olan giysilerinizi dikey ütülemeyle açabilirsiniz ayrıca tek yön ütü yapmanız yeterli olur tabanı kaygan sentetikten pamukluya bir kumaşa yapışmıyor korkmadan değdirin öyle rahatsız edici gürültüsü yok,Olumlu
emiş gücü iyi yüzey farklı aparatı var spariş verdikten 3gün sonra elimize ulaştı kullanıllı bir ürün,Olumlu
estetik olarak tezgah üzerinde güzel duruyor aksesuar kahve pişirme süresi bir dakika civarında asıl önemli olan pişen kahce doyumsuz fiyata kadar zarif estetik bir türk kahvesi makinesi bravo,Olumlu
ürünün motoru yandı haznesi kendiliğinden parçalandı kalite sıfır tavsiye etmem şimdi yetkili servise götürsem biliyorum kullanıcı hatası diyecek oysaki kesinlikle kendiliğinden hale geldi,Olumsuz
kesinlikle hic begenmedim cunku kurumus gibiydi arada sirada kullanabildim hic tavsiye etmem,Olumsuz
yeşil renginden aldım rengi harika dikkat çekici kullanımı rahat ancak 2 tane aldım 1 inin kulaklığı diğerinin mikrofonu bozuldu,Olumsuz
kesinlikle mükemmel bı ürün tavsiye ederim herkese sadece biraz sesli çalışıyor sorun maalesef bütün rondolarda kronik bir hastalık,Olumlu
sinyal gücü iyi sık kopmalar oluyor umduğum çıkmadı,Olumsuz
anlatıldığı olsaydı fena bir ürün değil,Olumsuz
kadar saçma bi ön yülmeme bios arayüzü görülmemi şti bi lgi sayari alanin wi ndows kurabi lmesi çi 4 yillik bi lgi sayar mühendi sli ği bi ti rmesi gereki kuramadim allahim kahretsi bende dell markasini bi bellemi şti i ade edi yorum,Olumsuz
ürün iphone telefonumu yavaş şarj ediyor ciddi anlamda ısınmasını sağlıyor qi3 destekli hızlı şarj özelliğine sahip olan adaptör kullanmama rağmen kadar yavaş şarj etmesini anlamıyorum örnek vermek gerekirse tam şarj süresini 4 saat civarı diyebilirim hatta aynı anda telefondan müzik dinleyeyim derseniz şarj yüzdesi sabit kalıyor sadece müzik çalmayı besleyebiliyor,Olumsuz
hava fitresinden toz çıkıyor,Olumsuz
ütü yıllardır philips kullanıyoruz modeli kaliteli buhar gücü kuvvetli tabanı gerçekten kaygan hafif,Olumlu
eski arcelik kahve makinasini kullanan olarak bugun aldigim yeni telve kahve makinasi tam bir hayal kırikligi makina birakin közde kahve tadini normal kahve yapamıyo arçelik makinayı piyasaya sürmüş hayretler icindeyim yazık verdigim paraya arçelik makinaları piyasadan çekmesi lazim görünüşune eski telveye aldanmayin,Olumsuz
su haznesi küçük ilk kurulumda hazneyi doldurdum deneme amaçlı kullanıp nekadar bittiğine baktım haznede su bitmek üzereydi 15 dk bir haznesi boşalıyor,Olumsuz
ben böyle sipariş vermedim bunun düzeltilmesini istiyorum,Olumsuz
gerçekten kullanışsız bir ürün sırf haznesi cam almayın derim,Olumsuz
olumlu yönleri evde evcil hayvanınız varsa süpürge secimi onemli olabiliyor cunku supurge kopek tuyunu cekmez halıda kalır fakat ben urunden yana hicbir eksik bir sey gormedim kullanırken cok rahat ediyorum seyi kolayca cekiyor emiş gücü ınanılmaz temizlemesi cok pratik tozutmuyor torbayla ugrasmak zorunda kalmıyorsunuz pratik cok kullanıslı tavsiye ederim,Olumlu
çeyizime aldım kullandım memnunum,Olumlu
amcama aldık servis köye getirdi kurdu makinayı güzel herkeze tavsiye aderim,Olumlu
tasarımı güzel 5 para etmez,Olumsuz
10 ay kadar önce aldım bana mısın demedi yalnız yazılımsal olarak ufak tefek eksiklikleri var bazen telefonla konuşurken ekran kararıyor karşı taraf telefonunu kapatmadığı sürece ekranı göremediğiniz konuşma arkadan hala devam ediyor telefonun oto parlaklık ayarı biraz geç çalışıyor sizi uğraştırabiliyor biraz bunların dışında performans görüntü kamera fiyatın üstündeki birçok telefona denk,Olumlu
ürünü henüz kullanmadım,Olumsuz
ben iki ay önce aldım iki gün önce bozuldu ses kısık gelmeye başlayıp artık bağlanmıyor telefona allah belanızı versin,Olumsuz
malesef adına aldandık yanıldık 3 yıl güzel kullandık garantisi bitti kendide bitti ben 15 yıl profilo yakınlarım beko arçelik kullandı ben böyle bir ley görmedim hafızası ifkas etdi tamam değişdik ondan sonrada çamaşırkarı sıkmıyor servis geldi açıklama ilginç dengeli çamaşır koymadığım sıkmıyormuş böyle saçmalık olurmu önceden dengeliydide şimdimi dengesiz okadar pi manimki hi ç memnun deği li gerçekten üreti sikintili servi elamaninda ço üzgünüm,Olumsuz
guzel kullanışlı,Olumlu
telefon sınıfındaki diğer markalarla mukayese edildiğinde gerçekten iyi depolama alanı yeterli kullanım kolaylığı hız gerçekten iyi pilde 2 günlük kullanımı rahat karşılıyor fotoğraf çekimi gerçekten mükemmel,Olumlu
çekim gücü iyi fakat gürültülü çalışıyor,Olumlu
ürünü gerçekten beğenmedim siyah döküm kaplama kısmında soyulma lar vardı anneme aldım kutuyu dagıttığı iade etmedim,Olumsuz
5 6 kere kullandım kapak daki dişler bozuldu bıçak dönmüyor garanti sahip çıkmadı ürünüm çöp oldu,Olumsuz
ürün göründüğü geldi kaliteli iyi pişiriyor,Olumlu
ütü güzel tavsiye ederim,Olumlu
olumsuz yönleri telefon elime hemen geçti fakat kutuyu açtiğımda kadar özensiz paketlenmiştiki telefon telefon kutusunun içine konmak yerine alalen atılmış geldi çıkardiğımda görünürde bişey yok gibiydi şarja taktiğımda ışığı yandiğında birde baktımki ekranın etrafı bildiğiniz boşlukta ekran kopmuş oynuyo sağ tarafında bişey yok sol tarafı abes bi şekilde kırık şarja taktiğımda 3 saatte 50 dolamadı adesini oluşturdum arada firmayıda arıyorum telefonlar ton bantta ilk sıradasınız diyo bekleme süreniz 2 dk 2 dakika 20 dakikada gelmedi kesinlikle paramın iadesini istiyorum teşhir ürün yazıyor ekranı kırık değil cizik değil beter durumda şarj oluyor nede ekran denen var ele alınası ben para iademi ostiyorum kesinlikle,Olumsuz
almadan önce fazla yorum inceleme okudum almaya karar verdim yi almışım almakla ilgili şüpheleriniz varsa kesinlikle almalısınız lk günüm hiçbir sorun yok olursa ekleme yapacağım kargo harika hızlıydı düzenleme1 ürünü yaklaşık 1 haftadır kullanıyorum gerçekten insanı aldığına pişman eden bir dip ses sorunu var şarkı dinlerken bi sıkıntı yok düşük sesli bir video normal sesle film izleyince saniye iğrenç bir dipses çıkıyor aldığıma pişman oldum iade edeceğim almayın aldırtmayın,Olumsuz
ürünün satış ekranında bozuk vs durumlar ürünü kargo kapıda açıp tutanak tutturun yazıyor fakat sürat kargo benim öyle bir yetkim yok diyerek açmamıza engel oldu beklemeden gitti tüketici hakları filan hikaye ürünün kutusu son derece ezik yamulmuş bir haldeydi allah tan ürüne bir olmamış,Olumsuz
mağazadakiyle aynı uygun,Olumlu
samsung hm 1500 kulaklık bulabilirim,Olumsuz
harika memnunum,Olumlu
on numara bir makine toz çekiyor resmen,Olumlu
işini iyi yapıyor,Olumlu
2000 tl altında olduğu sürece rakipsiz,Olumlu
güzel ısınıyor hafif kullanımı rahat,Olumlu
ürünü beğendim ürün kullanılmış çıktı suyu kaynatmıyor memnun değilim,Olumsuz
4 senede iki servise gitti sonuc yapilamadi cöp oldu kesinlikle alinmamali,Olumsuz
öncede kullandığım memnun olduğum marka sorunsuz alışveriş teşekkürler,Olumlu
mukemmel sorunsuz ulastı,Olumlu
i çini açım birinin üstünde 2000mah yazıyordu 5600 olması değerinin 3600mah olmalı kesinlikle değil çünki piller muhtemelen geri dönüşümden çıkma pilleri ucundaki çıkıntılar resimde gördüğünüz kazınmış tekrar bize sıfır verdiler tüketici haklarına gitmeyi planlıyorum,Olumsuz
zaman ayarı ni yapamadım yapılıyor kardeşim hediye etti bana kullanma kılavuzu yok yardımcı olurmusunuz,Olumsuz
olumlu yönleri güzel telefon alıcısını memnun eder olumsuz yönleri aldıktan sonra fiyatın hızlıca düşmesi,Olumsuz
denemedim arzum ürünleri zaman kalitelidir,Olumlu
teslimati hizli yanliz üründen menun degilim bicaklari cok yukarida yüzden sivi katmadan hic bisey püre haline getiremiyor amacim sivisiz meyve püresi di yanliz olmuyor,Olumsuz
gazelle brb 3000 aldım yaklaşık 1 ay oldu 4 kullandık pişirme yüzeyinde karar olmaya başladı rengi değişti herkes aynımı konuda yapılabilir,Olumsuz
yorumlara bakarak satın aldım gönül kitchenaid almak isterdi pahalı düşünürken kitchenaid gerek olmadığı kanaatindeyim şimdi oldukça pratik işinizi görmenizi rahatlıkla sağlıyor klasik mikserlere göre fazla harikalar yaratıyor anladığım kadarıyla arzum fiyat performans açısından iyisini yapmaya çalışmış başarmış ayrıca ilk arzum marka ürünüm oldu diğer ürünleri böyleyse marka olarak gayet düşünülebilir tavsiye ediyor muyum kesinlikle evet,Olumlu
güzel açıkçası,Olumlu
ben katı meyve sıkacağı aldım memnun kalmadım canımın istediği zaman sıkamadım çünki okadar ses yapıyorki bütün bina rahatsız gürültüsünden posa çıkartıyor,Olumsuz
ücretsiz kurulum yapıldı güzel görünüyor,Olumlu
anlatılmaz yaşanır mükemmel,Olumlu
kesinlikle almayın suyu bile ısıtamadıktan sonra işe yarar mum yakıp ısıtsam iyi sonuç alırım,Olumsuz
ürün güzel kırık geldiği kullanamadım henüz,Olumsuz
olumlu yönleri gerçekten hız kalite fiyatı iyi herkese tavsiye ediyorum,Olumlu
kendi çapında idare eder arka plan resimleri iyi değil görüntü kalitesi yok sayılır,Olumsuz
ürün tam istediğim,Olumlu
tefal kalitesi ortada zaten ürün güzel çorbayı pürüzsüz yaptı teşekkürler,Olumlu
ürünü öğlen sipariş ettim bir sonraki gün istediğim zaman dilimini seçtim zamanında geldi ürün seri numarasını kontrol ettim bir sıkıntı yok alacaklar gönül rahatlığıyla alabilir,Olumlu
wifi powerbank ın bir arada olması ürünü kalın ağır yapmış yalnız wifi yalnız powerbank almak mantıklı bence bir ürünün bir tane fonksiyonu olması kullanışlı olmasını sağlıyor,Olumsuz
hızlı kargo gayet iyi ürün tavsiye ederim amazzon güvenli alisverisi tavsiye ederim,Olumlu
ürün gayet güzel kulaklık şarj aletini beğenmedim,Olumlu
büyüklüğü iyi görüntü iyi su kaynadığı zaman üzerinde beyaz kireç partüküller oluyor hergün yıkansada beyaz kalıntılar oluyor,Olumsuz
meyvelerin posaları içinde kaldığı güzel bir ürün sert armut meyveleri parçalayamıyor,Olumlu
ürün 4 ramdi youtubeda bile donuyodu ayrıca kalitesizdi,Olumsuz
güzel kaliteli kullanışlı,Olumlu
fiyat performansı iyi olduğunu düşünüyorum,Olumlu
2 aydır düzenli olarak kullanıyorum 10 saniyede içeçek hazır oluyor kullandıktan sonra temizlemesi epey kolay ben plastiğini makinede yıkıyorum suya tutmak bile yetiyor üründen gayet memnunum buz kırmayı denemedim ancak ceviz badem sert kuruyemişleri içeceğin içinde fark edilmeyecek kadar ince kırıyor,Olumlu
avantajlar sessiz br üründen kargodan memnun kaldım tavsiye ederim teşekkür ederim,Olumlu
ürünü henüz kullanmadım umarım doğru seçimdir,Olumlu
kullanmadım ürün kaliteli görünüyor diğer kullandıklarına göre,Olumlu
i ndirimdeyken aldım şimdilik bir sıkıntı olmadı kullanışlı,Olumlu
telefonun bana ulasma süreci sancılı oldu biraz eve gelip beni bulamadıklarını söylediler kimse aramadı dediğimde sizi arama zorunlulugumuz yok dediler peki dedim ürünün olduğu şubelerine gidip paketimi kendim aldım telefonun bataryasi beklendiği uzun sure gidiyor konuda mutluyum ancak arama yaptığım zaman ekran kararıyor watsapta ses kaydi dinlerken sorun yaşıyorum dokunmatigiyle ilgili problem var geri gonder tekrar al muhabbetlerinden hoslanamdigim şartlarda alaismaya çalışacağım büyük problem çıkarsa zaman iade etmeyi düşünebilirim önceki telefonu yaptırıp ona dönmeyi bile dusundum sevgiler,Olumlu
21 yüzyılın sonlarına ilerledigimiz günlerde hala böyle klavyeler yapıyorlar hayret doğrusu tuşlar sert birbirine yakın yakınlık bir tasarım hatası olduğundan kullanıcıyı yazım yanlislarina itiyor başarısız bir ürün,Olumsuz
güzel ürün beğenerek kullanıyorum,Olumlu
tüy kıl alıyor sıfıra yakın alıyor inanmayın arkadaşlar,Olumsuz
aynı üründen bir tane eskittim yeni aldım isınma hızı bir önce kullandığıma göre yavaş dare eder bir ürün,Olumsuz
bence tarz ütü makineleri para vermeye gerek yok ben aldım çatır çatır ütü yapılıyor ayrıca unutmayın 2 metre ye yakın kablosu mevcut düşünmeden alın derim,Olumlu
marka kadar kalitesiz bir marka yok sürekli arıza servis sıfır aklı olan alıp kullanmaz,Olumsuz
gerçekten kullanışlı dondurulmuş meyve buz herşeyi kolayca parçalayabiliyor yulafı un haline getiriyor alın pişman olmazsınız,Olumlu
olumsuz yönleri akakçe den aldığım mesajda 146 90 tl ücretsiz kargo yazıyor üzerine tıkladığımda 218 00tl fiyat,Olumsuz
kargo hızlı geldi makine gerçekten başarılı yeni süpürülmüş halıdan bile fazla toz çıkardı sesi gerçekten düşük henüz toz haznesini boşaltmadık farklı bir sistemle tozları topluyor süpürgenin sapı diğer aparatları oldukça hafif malzemesi kalitesizmiş hissiyatı veriyor tek gözüme batan kısmı,Olumlu
elimdeki makinenin şarjı çabuk bitiyor tercih etmiştim aldım çokların saçında kullandım dişliler kadar dar saç bile arasına girmiyor kısaca kesmiyor bin pişmanım imkanım olsa geri veririm kullanmış bulundum bir işime yaramıyor çöpe atsam yazık evde tutsam sinirlerimi bozuyor iyi diyenleri merak ediyorum benim markaya düşmanlığım yok tek kelimeyle rezalet parası değil fakat işimi görmedikten sonra bedava olsa olacak asla tavsiye etmiyorum,Olumsuz
urun hatali uretilmis surekli su aliyor kesinlikle uzak durun degisime gitti sizde magdur olmayin,Olumsuz
sesi yüksek diyorlar yorumlarda ancak rahatsız edici bir sesi yok emiş gücü iyi tavsiye ederim,Olumlu
geçen yıl yazlıkta kullanmak aldım ancak yıl çırpıcı uçları paslanmış anda kullanılamaz durumda,Olumsuz
ürünü 6 ay önce anneme aldım arada bende kullandim uzun süreli kullanım sonrasi kesinlikle tavsiye ederim kaliteli malzeme mükemmel taban kolay kullanimiyla rahat bir ütü,Olumlu
fazla paraya gerek yok memnun etti harika,Olumlu
2011 den beri hepsiburada com dan alışveriş yapardım son 6 ayda baş ağrısı yapacak can sıkıntısı çektirdiler sorun kargo kargo şirketini eskisi secmeliyiz yeter,Olumsuz
beklediğimiz,Olumlu
ürün cuma gelecek denildi perşembe geldi servisi aradım ertesi gün geldi mi satıcı buradaya teşekkür ederim,Olumlu
yorumların yarısı ilk gün çekmiyor şikayetçiyken yarısı halıdan kaldıramıyoruz şikayetçi çekmiyor diyenler borusuna varana kadar temizlerlerse süpürgelerine sorun kalmaz üst filtresini sünger olanı yıkayın yapışıyor diyenler süpürgenin özelliği temizliği yapan özelliği temiz evinizin dahi tozuna inanmıyorsunuz şahane bir ürün almak isteyenler kullanıyorum rowenta markasını süpürgesini beğeniyorum,Olumlu
tam bir fiyat performans ürünü fiyata kaçırmayın derim,Olumlu
kullanışlı salata severler iyi,Olumlu
ürün kırık geldi paramı iade etmiyorlar,Olumsuz
beyaz askılık aldım bir hafta içinde geldim inşallah diğer urunlerimde sağlam bi şekilde gelir teşekkürler evidea,Olumlu
beğenmedim berbatttt,Olumsuz
15 yıldır kullandığım bundan başarılı parçalıyor bir yana çook aşırı gürültülü çalışıyor nerdeyse bina sallanıyor abartmıyorum inanın 100db gürültü çıkarıyor,Olumsuz
ürün kargolanmadı muhattap yok,Olumsuz
ben hayatım boyunca böyle güzel elektrik süpürge görmedim ben bugüne kadar temizlik yapmamisim süper bir elektrik süpürgesi herkese gönül rahatlığı tavsiye ederim,Olumlu
henüz almadım cok tavsiye ediyorlar alıp deneyecegim,Olumlu
geldiği günün ertesi üstü kırıldı sıcak su koyar koymaz uygun diyede kadar kötü ürün satmayın lütfennnnnnn,Olumsuz
i çerisinde paraben var ince çizgilere çözüm olmadı tekrar almam,Olumsuz
kötü ilgisiz amacsiz,Olumsuz
bir ses kablosu takılı olmadıgı halde sürekli subwoofer dan ugultu geliyor,Olumsuz
son derece gürültü titreşimli çalışıyor bilgisayarda kasmalara dosya erişimlerinde gecikmeler meydana geliyor,Olumsuz
kullanişli,Olumlu
iyi pişiriyor fiyatına göre bir özelliği var,Olumlu
hızlı kargolama,Olumsuz
süper süpürge çekim gücü kalitesi harika birde yerli marka olunca,Olumlu
güzel bi ürün değil sivilcelerim olduğu duruyor,Olumsuz
baya kötü bir türlü ayar tutmuyor port açıyorsun reddediyor güncelleme yok android kontrol yazılımı yok asus alın pişman olmayın,Olumsuz
ürünü cok beyendim kadar beklemiyordum teşekkürler,Olumlu
i çinden kullanım cihazı çıkmayan cihaz bilerek konulmadığı söyleniyor böyle bir memlekette yaşıyoruz,Olumsuz
kaliteli bir marka olmasına rağmen istediğim performansı alamadım temizliği kolay bulaşık makinasında yıkanabiliyor denmiş alt kısmı çukur olduğu oraya su birikiyor makinamdaki diğer bulaşıkların kurumasına engel oluyor bayat ekmekleri iyi doğrayamadı eşim soğan doğraması özellikle aldı fakat büyük parçalar halinde doğradığı ben elimde doğramak zorunda kalıyorum sanıyorum bıçağı biraz yukarıda kaldığı küçük parçalara ayıramıyor,Olumsuz
fiyat performans açısından başarılı,Olumlu
öncelikle kargo geç getirdi vestel servisi aradım 1 5 saat sonra gelip kurdular servis elemanı ayaklarını ayarladı sonradan farkettim arka sabit ayaklarının eğilmişti yamuk duruyordu servis elemanı farketmemiş servisi aradım hemen gelip ayarlayıp yaptılar vestel servisine teşekkür ederim buzdolabına gelince yalnız yaşayanlar ideal fazla bişey beklemeyin idare eder gürültüsü yok küçük bir buzdolabı tavsiye ederim,Olumlu
üründen önce kullanmış olarak bana orjinal gelmedi ucuz saç spreyleri saçı ağırlaştırıp kalın bir tabaka bırakıyor,Olumsuz
kısaca fiyat performans ürünü uzun anlatmaya gerek yok bence,Olumlu
kalitesiz ürün,Olumsuz
ürünle ilgili olarak önce ikinci siparişimi verdim l siparişimi üç yıl önce vermiştim lk ürünü 7 gün 24 saat esasına göre kullandık cihaz durmadan sorunsuz çalıştı tek sıkıntısı çay koyarken bardak dışına dökülmesi onun haricinde kullanışlı bir cihaz,Olumlu
pratik hızlı temizliği kolay,Olumlu
i yi,Olumsuz
güzel ürün ilgili mağaza,Olumlu
bekâr mütevazı bir buz dolabı,Olumlu
performansı yüksek,Olumlu
hızlı kargo ürün kaliteli tavsiye ederim,Olumlu
arkadaşımda var gerçektn gzl,Olumlu
dün satın aldım heyecanla hızlı teslimat seçeneğini seçip bugün teslim aldım kargo firması teslimatın söz verildiği yapılmasından memnun kaldım maalesef bana gönderilen a71 in ayıplı bir mal olduğunu mikrofonunun arızalı olduğunu fark ettim kamera ses kaydı fark etmiyor bütün kayıtlarda dinlerken art arda güçlü bir şekilde patttpattpatt sesler geliyor stisnasız kayıtta oluyor rahatsız edici whatsapptan basit bir ses kaydı bile gönderemiyorum ayrıca google translate programlarda konuşma sesimi algılamıyor mikrofon olmadan telefonun maalesef bir anlamı olmuyor 4 senedir samsung a5 kullanıyorum telefonu yenileyim dedim güvendiğim emsallerinden pahalı olmasına rağmen aynı markayı tercih ettim bin pişman oldum amazzon dan ilk alışverişimdi sonuç hüsran oldu özetle samsung amazzon beni üzdü şaşırttı,Olumsuz
güzel bir kahve keyfi yaşatık teşekkürler burada,Olumlu
montaj yerleri dayanıksızdı bir kaç zaman sonra duvardan düşebilir görünüş olarak tatminkar uzun ömürlü olması ümidiyle,Olumsuz
olumsuz yönleri sesi fazla aldığıma pişman oldum,Olumsuz
ürünü 1 5 senedir kullanıyorum 3 kere kablosundan dolayı tamire gitti ürünü 80 tl ye aldık 15 tl servis parası 45 tl servis parası verdik fakir darkyde kullandım oda aynı şekilde oldu kablosu dayanıksız,Olumsuz
maalesef hemen bozuldu,Olumsuz
kötü begenmedim,Olumsuz
basketbol antrenmanlarımda sürekli olarak kulağımda gevşedi tam anlamıyla rahat edemedim yüzden iade ettim kadar böyle bir modelden yüksek bir kalitesi beklemiyor olsam yine ses kalitesi içime sinmedi bunun yerine jbl e55bt aldım gayet memnunum,Olumsuz
ürün kesinlikle iyi 1 seneye yakındır kullanıyorum aşırı memnunum,Olumlu
ürünü çeyizime aldım paketi açıp denedim hemen ısındı inşallah iyidir,Olumlu
ürün darbeli olarak gelmiş geri gönderecek kadar değil yan tarafı bir yere çarpılmış sonuç olarak şirketten son alışverişim olur,Olumsuz
hayır aldın ürün deforme olmuş,Olumsuz
ürün tam göründüğü eksiksiz geldi tavsiye ederim,Olumlu
kargodan çıkan ürün kırık geldi mağazaya tel ulaşamıyorum,Olumsuz
cezvede pişen kahve telvesi çiğ kaldığı almayı tercih ettim hızlı köpüklü kahve pişiriyor tek kişilik yapıyorum genellikle pişerken kulbundan tutup biraz çalkaliyorum iyi oluyor kesinlikle fiyatına göre iş görür düşünmeden alabilirsiniz idareten kurtarır,Olumlu
kutu acilinca kırık bozuk bisey yoksa urun ambalaj teslimat iui,Olumlu
ürün bir yorumdaki klasik olacak süpürge gerçekten iyi önce arçelik sulu süpürge kullanıyordum süpürge gerçekten muhteşem cihaz son güçte dahi sessiz toz toplaması son derece başarılı arçelik gerçekten yüzeysel temizlik yapıyormuşuz temizliği son derece kolay süpürge hafif sebep rahat hareket kabiliyeti sağlıyor halı diğer zemin başlıkları son derece kullanışlı başarılı malzeme kalitesine gelince bence yeterli hafif olması tabiki biraz malzeme hassas olacaktır alanlar pişman kalmayacaktır çekiş konusuna gelirsek bence başarılı halıya adeta yapışıyor,Olumlu
cok tatli be kullanisli rengine bayildim,Olumlu
muhteşem bir telefon,Olumlu
ürün kalitesi çalışması güzel bi ütün önemlisi hızlı teslimat teşekkürler,Olumlu
ses seviyesı bekledıgım cıkmadı ben 2 1 olunca ıyı ses cıkısı beklemıstım vasat,Olumsuz
ses kalitesi düşük müzik dinlemeniz kulaklıkla mümkün deil bunun yanında yanlışlıkla birini arama ihtimaliniz kulaklık yüzünden yüksek dokunduğunuz an birilerini arıyor,Olumsuz
ürünü pek beğenmedim su miktarını fazla yapıyor capucino lattede su kahveyi ayarlama özelliği yok değmez,Olumsuz
avantajlar boyutu kalitesi baya iyi br dezavantajlar alt su konulan demliğin kapağı olabilirdi br çay kapasitesi baya iyi kaçırmayın derim,Olumlu
urunu begendim anlatildigi gibiydi su anlik bir sorun gozukmuyor gayet guzel calisiyor,Olumlu
tam bır serefsızlık cok kotu bır makıne gercekten onunden gecınce bıle hemen duruyo alalı 1 ay olmadı geri iade etmek ıstıyorum gercekten havluları bır herseyı suınıflandıracaksın boyle makınenın benb sınırımden kaldırıp atasım var bıde hıc bılgı vermıyorlar gecek seyı soylemıyorlar tam bır tıcaqrı ahlaksızlık,Olumsuz
fotoğraflarda görüldüğü güzel zama su aznesi max seviyesi düşük,Olumlu
çamaşır makinesi güzel horoz lojistik zamanında getirdi eve kadar çıkardılar ürünü tek sıkıntı vestelden kurulum çin geldiler kurulum üçreti aldılar,Olumlu
memnun kaldım iyi tefal almışım maydanozda bile sorun çıkarmadan çalışıyor,Olumlu
ürün kargo hizmeti sıfır ürünü getirdiler yola bırakıp gittiler ondan dolayı firmadan almanızı tavsiye etmiyorum kargo şirketi dediği bizim anlaşmamız kargo aracında teslim etmek size dedi beni mağdur ettiler ürünü yola bırakıp gittiler,Olumsuz
fiyata kaliteli urun,Olumlu
kullanımı rahat yer kaplamıyor çalıştırma esnasında biraz fazla ses çıkması dışında güzel,Olumlu
tlf nun internet giriş yapma aşamasında sıkıntı oluyor tlf nu kapatip açtığımda sıkıntı yok günde tlf nu 2 3 kapatıp tekrar açmak zorunda kaldım,Olumsuz
ürünü yeni kurduk yoğun kokuları güçlü çektiği söylenemez hatta pek bi işlevini görmedim umarım ileride kendine gelir alamdan evvel iki düşünün derim,Olumsuz
olumlu yönleri üründen memnun kaldım teşekkürler herkese tavsiye ederim olumsuz yönleri olumsuz yanı yok,Olumlu
